task,transform,parcel,lb,ub,variable,estimate,p
Axcpt,unscaled,LH_Vis_18,-0.0140250834108305,0.0154387790105541,contrast,-0.00109143685241736,0.865
Axcpt,unscaled,LH_Vis_19,-0.0212872977977982,0.0283414020778402,univariate,0.00144260842516712,0.5383
Axcpt,unscaled,LH_Vis_19,-0.0385997432919291,0.0243008820466013,multivariate,-0.00693369633029695,0.3315
Axcpt,unscaled,LH_Vis_19,-0.0273814762899787,0.00354464355758249,contrast,-0.00837630475546407,0.2764
Axcpt,unscaled,LH_Vis_20,-0.0306207441311312,0.0356152263639672,univariate,-6.26529021695854e-05,0.4904
Axcpt,unscaled,LH_Vis_20,-0.0412319870293622,0.048894161453284,multivariate,0.000214688174106359,0.4973
Axcpt,unscaled,LH_Vis_20,-0.0158943816937706,0.0179931879346557,contrast,0.000277341076275944,0.9798
Axcpt,unscaled,LH_Vis_21,-0.00134513067443991,0.0873499055449364,univariate,0.0361824936854121,0.9554
Axcpt,unscaled,LH_Vis_21,0.00875113178222037,0.114002159938373,multivariate,0.0514510097131827,0.9815
Axcpt,unscaled,LH_Vis_21,0.00555916746526959,0.0298012469691395,contrast,0.0152685160277706,0.00659999999999994
Axcpt,unscaled,LH_Vis_22,-0.00815737266335273,0.0533776674505983,univariate,0.0252146308732573,0.9414
Axcpt,unscaled,LH_Vis_22,0.000446583019415161,0.0728361005727531,multivariate,0.0377930785941776,0.9754
Axcpt,unscaled,LH_Vis_22,0.00138769899177395,0.0229619157717449,contrast,0.0125784477209202,0.028
Axcpt,unscaled,LH_Vis_23,-0.00828840414434921,0.0359480672423519,univariate,0.00752681151875133,0.7523
Axcpt,unscaled,LH_Vis_23,-0.0141086028293215,0.0308113302276485,multivariate,0.00398073493555837,0.6226
Axcpt,unscaled,LH_Vis_23,-0.0104467979474636,0.00521158444464519,contrast,-0.00354607658319296,0.3634
Axcpt,unscaled,LH_Vis_24,-0.0207018015406919,0.0277804995067594,univariate,0.00548937551397924,0.6752
Axcpt,unscaled,LH_Vis_24,-0.0289353114110521,0.0265674939338245,multivariate,0.000695961544019214,0.5255
Axcpt,unscaled,LH_Vis_24,-0.0156325165481475,0.00160612922826122,contrast,-0.00479341396996003,0.2412
Axcpt,unscaled,LH_Vis_25,0.00943365358097715,0.0560298853439815,univariate,0.0272412717272508,0.9941
Axcpt,unscaled,LH_Vis_25,0.00825923542886579,0.0615821798918192,multivariate,0.0298367151493261,0.9906
Axcpt,unscaled,LH_Vis_25,-0.00416465652479829,0.00903423485398723,contrast,0.00259544342207536,0.446
Axcpt,unscaled,LH_Vis_26,0.00933489654994129,0.0508946933543659,univariate,0.0291966485434503,0.9972
Axcpt,unscaled,LH_Vis_26,0.0143701834412586,0.0659866367019366,multivariate,0.0380221975620351,0.9982
Axcpt,unscaled,LH_Vis_26,-0.000189783346484503,0.0242748283425065,contrast,0.0088255490185848,0.1194
Axcpt,unscaled,LH_Vis_27,-0.013641796268571,0.047351339460445,univariate,0.0095193499334255,0.7288
Axcpt,unscaled,LH_Vis_27,-0.015679965092458,0.0482806019628447,multivariate,0.00893104864018471,0.7014
Axcpt,unscaled,LH_Vis_27,-0.00595523775233849,0.00422530577395861,contrast,-0.000588301293240792,0.815
Axcpt,unscaled,LH_Vis_28,0.00227811520206447,0.0384445617775822,univariate,0.017395631353495,0.9764
Axcpt,unscaled,LH_Vis_28,0.00349616441005258,0.0417911692598304,multivariate,0.0208901183361778,0.984
Axcpt,unscaled,LH_Vis_28,-0.00262861270631425,0.00955445293661964,contrast,0.00349448698268287,0.2654
Axcpt,unscaled,LH_Vis_29,-0.0190812211114771,0.0502517418922691,univariate,0.0102335557425617,0.713
Axcpt,unscaled,LH_Vis_29,-0.0196058045075271,0.0579236740973582,multivariate,0.0128720303910168,0.7439
Axcpt,unscaled,LH_Vis_29,-0.00523915057105179,0.0113137126431139,contrast,0.00263847464845511,0.5436
Axcpt,unscaled,LH_Vis_30,-0.00256319261705168,0.0402982745765442,univariate,0.0196705852100398,0.9625
Axcpt,unscaled,LH_Vis_30,0.0107968538585789,0.0641299436591798,multivariate,0.035531501166452,0.9962
Axcpt,unscaled,LH_Vis_30,0.00825139892817812,0.0268314039255267,contrast,0.0158609159564122,0
Axcpt,unscaled,LH_Vis_31,-0.0218392699659095,0.0153262482463027,univariate,-0.00411122852088443,0.3402
Axcpt,unscaled,LH_Vis_31,-0.027282755086997,0.0186150718459617,multivariate,-0.0022426478015464,0.4274
Axcpt,unscaled,LH_Vis_31,-0.0172067636360564,0.0104684077926167,contrast,0.00186858071933803,0.6982
Axcpt,unscaled,LH_SomMot_1,-0.0102168213999895,0.0249441630506716,univariate,0.00559445739052421,0.7234
Axcpt,unscaled,LH_SomMot_1,-0.0266215499650973,0.0212533009927719,multivariate,-0.00143282964362979,0.4613
Axcpt,unscaled,LH_SomMot_1,-0.0279419929513927,0.00347594137534509,contrast,-0.00702728703415399,0.349
Axcpt,unscaled,LH_SomMot_2,-0.0168278362210698,0.0543788111365499,univariate,0.0159945171288532,0.8107
Axcpt,unscaled,LH_SomMot_2,-0.0160063391906292,0.0609558289487423,multivariate,0.019078441324344,0.8291
Axcpt,unscaled,LH_SomMot_2,-0.00820042888163165,0.0146264151014699,contrast,0.00308392419549078,0.5928
Axcpt,unscaled,LH_SomMot_3,-0.0141468278171591,0.0355232408707118,univariate,0.00730176991710657,0.7056
Axcpt,unscaled,LH_SomMot_3,-0.0166766422570791,0.0421530581386204,multivariate,0.0100592001681966,0.745
Axcpt,unscaled,LH_SomMot_3,-0.00621348123525902,0.0147999874570997,contrast,0.00275743025109007,0.6126
Axcpt,unscaled,LH_SomMot_4,-0.0281872075316768,0.0397562637355538,univariate,0.00448448840191069,0.601
Axcpt,unscaled,LH_SomMot_4,-0.0335972187031396,0.0527303764330225,multivariate,0.00610281621038594,0.6041
Axcpt,unscaled,LH_SomMot_4,-0.0115372633011886,0.0163829394095785,contrast,0.00161832780847525,0.8272
Axcpt,unscaled,LH_SomMot_5,-0.0275889934339296,0.0768468656912712,univariate,0.0182372534093162,0.7475
Axcpt,unscaled,LH_SomMot_5,-0.0221076601592041,0.09464863204795,multivariate,0.024986072794653,0.806
Axcpt,unscaled,LH_SomMot_5,-0.00367074240140395,0.0243540997052668,contrast,0.00674881938533678,0.3406
Axcpt,unscaled,LH_SomMot_6,-0.0220941320133119,0.0221939529749138,univariate,0.00324384999459358,0.6199
Axcpt,unscaled,LH_SomMot_6,-0.0333804572057067,0.0213392345173553,multivariate,0.000245407298363559,0.5271
Axcpt,unscaled,LH_SomMot_6,-0.0133225917433913,0.00588718562596531,contrast,-0.00299844269623002,0.5614
Axcpt,unscaled,LH_SomMot_7,-0.0350868524001965,0.027994234092995,univariate,-0.00162633708383779,0.4644
Axcpt,unscaled,LH_SomMot_7,-0.0456138300061426,0.0292610674891075,multivariate,-0.00472469475478401,0.4143
Axcpt,unscaled,LH_SomMot_7,-0.014048936378741,0.00587332338987917,contrast,-0.00309835767094623,0.5526
Axcpt,unscaled,LH_SomMot_8,-0.0430614099637458,0.0166423941177191,univariate,-0.0116186675378568,0.2205
Axcpt,unscaled,LH_SomMot_8,-0.0583261363665132,0.0186301583752663,multivariate,-0.0162602211386595,0.2052
Axcpt,unscaled,LH_SomMot_8,-0.0226454360079716,0.00465159246192013,contrast,-0.00464155360080272,0.4948
Axcpt,unscaled,LH_SomMot_9,-0.0192825619851794,0.0461130865912733,univariate,0.00886903381788727,0.6903
Axcpt,unscaled,LH_SomMot_9,-0.0234062788453873,0.0510285759110695,multivariate,0.010732054379918,0.7217
Axcpt,unscaled,LH_SomMot_9,-0.0100671084269613,0.0125968166865318,contrast,0.00186302056203076,0.7278
Axcpt,unscaled,LH_SomMot_10,-0.082728182175339,0.0354176503630429,univariate,-0.00983308509852923,0.3891
Axcpt,unscaled,LH_SomMot_10,-0.09667108041659,0.0354119618480018,multivariate,-0.0141875868608216,0.3531
Axcpt,unscaled,LH_SomMot_10,-0.0160455570267071,0.0058694011442812,contrast,-0.00435450176229238,0.4278
Axcpt,unscaled,LH_SomMot_11,-0.0282477585061988,0.047393267685357,univariate,0.0106482373905119,0.703
Axcpt,unscaled,LH_SomMot_11,-0.033990524873975,0.0500872587345632,multivariate,0.0116071688475193,0.7111
Axcpt,unscaled,LH_SomMot_11,-0.0157693256029429,0.0152449436171416,contrast,0.0009589314570074,0.8824
Axcpt,unscaled,LH_SomMot_12,-0.0141544092014854,0.0503000280343103,univariate,0.0161988506802765,0.8386
Axcpt,unscaled,LH_SomMot_12,-0.014247551492875,0.0575306891775526,multivariate,0.0212131901116476,0.8733
Axcpt,unscaled,LH_SomMot_12,-0.00468070692886188,0.0152287568321979,contrast,0.0050143394313711,0.3252
Axcpt,unscaled,LH_SomMot_13,-0.0257633620273411,0.0196305669338461,univariate,-0.00440208981747804,0.3465
Axcpt,unscaled,LH_SomMot_13,-0.034637066970033,0.023694535233428,multivariate,-0.00636142385266775,0.3333
Axcpt,unscaled,LH_SomMot_13,-0.0138190702867226,0.00871056215247729,contrast,-0.00195933403518971,0.7572
Axcpt,unscaled,LH_SomMot_14,-0.0162720688845306,0.0858969652692573,univariate,0.033406990529766,0.8941
Axcpt,unscaled,LH_SomMot_14,-0.017438548245246,0.0995802768581743,multivariate,0.0396471021063488,0.9052
Axcpt,unscaled,LH_SomMot_14,-0.00394049653287737,0.0158720083388017,contrast,0.00624011157658286,0.2426
Axcpt,unscaled,LH_SomMot_15,-0.0584002747958975,0.0215214424307094,univariate,-0.0116384011625311,0.2797
Axcpt,unscaled,LH_SomMot_15,-0.0526617078782563,0.032980314941187,multivariate,-0.00510546569653494,0.4212
Axcpt,unscaled,LH_SomMot_15,0.000853555651858495,0.0168091092667507,contrast,0.00653293546599611,0.0646
Axcpt,unscaled,LH_SomMot_16,-0.0216150976224015,0.0401627195963963,univariate,0.00514229048616598,0.6194
Axcpt,unscaled,LH_SomMot_16,-0.0181900669175553,0.0519243087236865,multivariate,0.0100287293425068,0.709
Axcpt,unscaled,LH_SomMot_16,-0.00142061007504851,0.0127108833703638,contrast,0.00488643885634078,0.169
Axcpt,unscaled,LH_SomMot_17,-0.0372505993895901,0.0524784294322281,univariate,0.00172716725632527,0.5179
Axcpt,unscaled,LH_SomMot_17,-0.044940112488723,0.0567727848842454,multivariate,0.00031550450955764,0.5016
Axcpt,unscaled,LH_SomMot_17,-0.0134643323102147,0.00823601091215023,contrast,-0.00141166274676763,0.8382
Axcpt,unscaled,LH_SomMot_18,-0.0212999778849994,0.0222004150748083,univariate,0.00169093106899715,0.5609
Axcpt,unscaled,LH_SomMot_18,-0.0246386462335714,0.0274950081440653,multivariate,0.00310222553077305,0.5938
Axcpt,unscaled,LH_SomMot_18,-0.0101129500134804,0.0111529886028515,contrast,0.0014112944617759,0.7824
Axcpt,unscaled,LH_SomMot_19,-0.00292243713681096,0.0634492865128854,univariate,0.0232228897893648,0.9309
Axcpt,unscaled,LH_SomMot_19,-0.00362029835572458,0.0649491122415921,multivariate,0.023670765958531,0.9204
Axcpt,unscaled,LH_SomMot_19,-0.00515480949791973,0.00528204725072435,contrast,0.000447876169166195,0.8614
Axcpt,unscaled,LH_SomMot_20,-0.049252108719656,0.0348726680062008,univariate,-0.00369045902621112,0.4349
Axcpt,unscaled,LH_SomMot_20,-0.0459541443732349,0.0529259624406949,multivariate,0.00236931415552708,0.5399
Axcpt,unscaled,LH_SomMot_20,-0.00217085677168976,0.019089051034234,contrast,0.0060597731817382,0.2462
Axcpt,unscaled,LH_SomMot_21,-0.0754660692961503,0.0312148283209083,univariate,-0.00795750969859185,0.4
Axcpt,unscaled,LH_SomMot_21,-0.0684412500525896,0.0527889911026473,multivariate,-0.0031815411889492,0.4683
Axcpt,unscaled,LH_SomMot_21,-0.00698070227209962,0.0316847591003304,contrast,0.00477596850964265,0.6358
Axcpt,unscaled,LH_SomMot_22,-0.0402070737080061,0.0997739657765202,univariate,0.0203345384831168,0.7147
Axcpt,unscaled,LH_SomMot_22,-0.0356584276744602,0.125887224720977,multivariate,0.0267583535461846,0.7436
Axcpt,unscaled,LH_SomMot_22,-0.00195388964103158,0.0218697157441628,contrast,0.00642381506306783,0.2608
Axcpt,unscaled,LH_SomMot_23,-0.0244431741224183,0.023447292589103,univariate,0.00161700594926223,0.559
Axcpt,unscaled,LH_SomMot_23,-0.0300199090749091,0.0283114808532301,multivariate,0.00204439101237877,0.5656
Axcpt,unscaled,LH_SomMot_23,-0.00764752725885456,0.00962770628159445,contrast,0.000427385063116542,0.9274
Axcpt,unscaled,LH_SomMot_24,-0.0396382341253764,0.0199901631389526,univariate,-0.00413602634671373,0.4056
Axcpt,unscaled,LH_SomMot_24,-0.0393797691333515,0.0235785986268474,multivariate,-0.0050674605392729,0.3775
Axcpt,unscaled,LH_SomMot_24,-0.0084368882845341,0.00602632712194781,contrast,-0.000931434192559172,0.808
Axcpt,unscaled,LH_SomMot_25,-0.0176363843476065,0.0276437677537147,univariate,0.00494976042056765,0.6634
Axcpt,unscaled,LH_SomMot_25,-0.0156758113214829,0.0339800272931034,multivariate,0.00897432244955854,0.7562
Axcpt,unscaled,LH_SomMot_25,-0.00333008633244513,0.0107847286005543,contrast,0.00402456202899089,0.2712
Axcpt,unscaled,LH_SomMot_26,-0.0446874605672914,0.027344405219401,univariate,0.000398313661172878,0.5255
Axcpt,unscaled,LH_SomMot_26,-0.0545162309636725,0.0381078836228601,multivariate,0.000460980996903004,0.5258
Axcpt,unscaled,LH_SomMot_26,-0.0180519011556303,0.0128161221827075,contrast,6.26673357301266e-05,0.969
Axcpt,unscaled,LH_SomMot_27,-0.0366660081439703,0.0113700769280097,univariate,-0.00846430523763625,0.2433
Axcpt,unscaled,LH_SomMot_27,-0.0475080851494363,0.0130342376954439,multivariate,-0.010263911903479,0.251
Axcpt,unscaled,LH_SomMot_27,-0.0116336871387096,0.00375724972661812,contrast,-0.00179960666584278,0.6792
Axcpt,unscaled,LH_SomMot_28,-0.149018184902151,0.00541355934913818,univariate,-0.0361942031060545,0.1246
Axcpt,unscaled,LH_SomMot_28,-0.186801258519881,0.00696574924070682,multivariate,-0.0436801180389388,0.1402
Axcpt,unscaled,LH_SomMot_28,-0.0327297923517713,0.00566252899744406,contrast,-0.00748591493288431,0.421
Axcpt,unscaled,LH_SomMot_29,-0.0310027739468294,0.0374808872657432,univariate,0.00312046201499062,0.5682
Axcpt,unscaled,LH_SomMot_29,-0.0399680558251412,0.0380575441759131,multivariate,5.85357839598399e-05,0.5013
Axcpt,unscaled,LH_SomMot_29,-0.0103851522878639,0.00350153726228915,contrast,-0.00306192623103078,0.4038
Axcpt,unscaled,LH_SomMot_30,-0.0162181481481038,0.0113290437360992,univariate,-0.0025005398535168,0.3622
Axcpt,unscaled,LH_SomMot_30,-0.0230800220630458,0.0126147774881012,multivariate,-0.00289394386227709,0.3863
Axcpt,unscaled,LH_SomMot_30,-0.0102443650612471,0.00466906554534783,contrast,-0.000393404008760298,0.9674
Axcpt,unscaled,LH_SomMot_31,0.00077171890492906,0.0541093113843191,univariate,0.0224399583201807,0.9609
Axcpt,unscaled,LH_SomMot_31,0.00155633836364154,0.0591291770260617,multivariate,0.0255873622366502,0.9654
Axcpt,unscaled,LH_SomMot_31,-0.0013825426035066,0.00879206171316959,contrast,0.00314740391646955,0.2166
Axcpt,unscaled,LH_SomMot_32,-0.0192028490996015,0.0287352849928032,univariate,0.00010812621018777,0.4856
Axcpt,unscaled,LH_SomMot_32,-0.0167390342782931,0.0428660259648379,multivariate,0.00858331751538713,0.7045
Axcpt,unscaled,LH_SomMot_32,-0.00218365311597816,0.0218276643613742,contrast,0.00847519130519936,0.1612
Axcpt,unscaled,LH_SomMot_33,-0.000290747815492543,0.046087029729579,univariate,0.0160736704201476,0.9393
Axcpt,unscaled,LH_SomMot_33,-0.000326401436716919,0.105543752473081,multivariate,0.0272891305333278,0.9106
Axcpt,unscaled,LH_SomMot_33,-0.0026324801891777,0.0584349504614349,contrast,0.0112154601131802,0.3928
Axcpt,unscaled,LH_SomMot_34,-0.018710336988426,0.0119594066574234,univariate,-0.000656020899767677,0.4777
Axcpt,unscaled,LH_SomMot_34,-0.0105503511188732,0.0270065530317349,multivariate,0.0104153465128552,0.8597
Axcpt,unscaled,LH_SomMot_34,0.00369118886765313,0.0243127988082629,contrast,0.0110713674126228,0.00940000000000007
Axcpt,unscaled,LH_SomMot_35,-0.00956417483262404,0.0300558734427246,univariate,0.00604303628477539,0.7143
Axcpt,unscaled,LH_SomMot_35,-0.00974909645587753,0.0382329342131575,multivariate,0.0107804393421562,0.8083
Axcpt,unscaled,LH_SomMot_35,-0.00339330481888842,0.0143470969103371,contrast,0.00473740305738078,0.2952
Axcpt,unscaled,LH_SomMot_36,-0.0137340227618891,0.0143879620068119,univariate,0.000241404882817979,0.5079
Axcpt,unscaled,LH_SomMot_36,-0.01486436672009,0.0182841629273743,multivariate,0.00135340095864123,0.5571
Axcpt,unscaled,LH_SomMot_36,-0.00784040732494899,0.00869969665804767,contrast,0.00111199607582325,0.7894
Axcpt,unscaled,LH_SomMot_37,-0.0134836681810856,0.0343886539940959,univariate,0.00659869712277803,0.6955
Axcpt,unscaled,LH_SomMot_37,-0.0036410990585026,0.05983854738825,multivariate,0.0216932574088751,0.9187
Axcpt,unscaled,LH_SomMot_37,0.00596525957855966,0.0319970279347108,contrast,0.015094560286097,0.00340000000000007
Axcpt,unscaled,LH_DorsAttn_Post_1,-0.0289498511040249,0.00194993292995604,univariate,-0.0097570039992121,0.0944
Axcpt,unscaled,LH_DorsAttn_Post_1,-0.0535799576974289,-0.00506133109427821,multivariate,-0.0232751336719789,0.0177
Axcpt,unscaled,LH_DorsAttn_Post_1,-0.0314517731141545,-0.00273430652107233,contrast,-0.0135181296727668,0.0352
Axcpt,unscaled,LH_DorsAttn_Post_2,-0.0164024492291667,0.0239942809743429,univariate,0.00737463610728255,0.7715
Axcpt,unscaled,LH_DorsAttn_Post_2,-0.0136374990782938,0.0320148190660458,multivariate,0.0106473975242491,0.8123
Axcpt,unscaled,LH_DorsAttn_Post_2,-0.00803127428991149,0.0142507302080595,contrast,0.0032727614169666,0.5668
Axcpt,unscaled,LH_DorsAttn_Post_3,-0.0242857119015007,0.0126334797588233,univariate,-0.00255096459084807,0.3991
Axcpt,unscaled,LH_DorsAttn_Post_3,-0.0240016235802736,0.0175910593801452,multivariate,-0.000645110246837111,0.4843
Axcpt,unscaled,LH_DorsAttn_Post_3,-0.0101988214942522,0.0100296845073882,contrast,0.00190585434401096,0.6796
Axcpt,unscaled,LH_DorsAttn_Post_4,-0.020264966083304,0.0200435974135315,univariate,0.00299115558633696,0.628
Axcpt,unscaled,LH_DorsAttn_Post_4,-0.0142077421360305,0.0329257010578917,multivariate,0.0109078851404786,0.8186
Axcpt,unscaled,LH_DorsAttn_Post_4,-0.00025305230577826,0.0173402688711796,contrast,0.00791672955414167,0.0791999999999999
Axcpt,unscaled,LH_DorsAttn_Post_5,-0.00802049459450198,0.0388495294549283,univariate,0.0133380464935889,0.8707
Axcpt,unscaled,LH_DorsAttn_Post_5,-0.00975918198591312,0.0463586137839044,multivariate,0.0162563466530732,0.868
Axcpt,unscaled,LH_DorsAttn_Post_5,-0.0043136919149779,0.00899454234223239,contrast,0.00291830015948427,0.3894
Axcpt,unscaled,LH_DorsAttn_Post_6,-0.0035755327764419,0.0386100020291499,univariate,0.0154696017612174,0.9221
Axcpt,unscaled,LH_DorsAttn_Post_6,0.00479281263478645,0.0539168273217017,multivariate,0.026211068482299,0.9853
Axcpt,unscaled,LH_DorsAttn_Post_6,0.0043631401458908,0.0195041671335176,contrast,0.0107414667210815,0.00360000000000005
Axcpt,unscaled,LH_DorsAttn_Post_7,-0.00608462471754512,0.0488407307679049,univariate,0.0175861654727819,0.8969
Axcpt,unscaled,LH_DorsAttn_Post_7,-0.00190185496210644,0.0546253599094457,multivariate,0.0252758465491547,0.96
Axcpt,unscaled,LH_DorsAttn_Post_7,-0.001230401568217,0.0152835947799192,contrast,0.00768968107637275,0.077
Axcpt,unscaled,LH_DorsAttn_Post_8,-0.0347106069017983,0.0342577925674285,univariate,0.00202884119125095,0.5588
Axcpt,unscaled,LH_DorsAttn_Post_8,-0.0308939581448077,0.0397805931869902,multivariate,0.00622818424273317,0.6405
Axcpt,unscaled,LH_DorsAttn_Post_8,-0.00178225779904548,0.010788234798277,contrast,0.00419934305148222,0.2036
Axcpt,unscaled,LH_DorsAttn_Post_9,-0.00433735775335129,0.0411996013761774,univariate,0.0176469431050396,0.9338
Axcpt,unscaled,LH_DorsAttn_Post_9,0.0105663557586737,0.0611639825014507,multivariate,0.0350846857305348,0.995
Axcpt,unscaled,LH_DorsAttn_Post_9,0.00870384869228052,0.0280735289981557,contrast,0.0174377426254952,0.000199999999999978
Axcpt,unscaled,LH_DorsAttn_Post_10,0.0283343670519439,0.142274729070542,univariate,0.0681519805319807,0.9975
Axcpt,unscaled,LH_DorsAttn_Post_10,0.0411152304837018,0.178400955203003,multivariate,0.0905471297422418,0.9993
Axcpt,unscaled,LH_DorsAttn_Post_10,0.00765934324285416,0.0424928047651384,contrast,0.0223951492102611,0.0092000000000001
Axcpt,unscaled,LH_DorsAttn_Post_11,-0.0683880216932014,0.0101209366078746,univariate,-0.0155061808791609,0.2087
Axcpt,unscaled,LH_DorsAttn_Post_11,-0.0707641626552261,0.0193373958958371,multivariate,-0.00934536842791414,0.3581
Axcpt,unscaled,LH_DorsAttn_Post_11,-0.00301126879578624,0.0129328223098411,contrast,0.00616081245124679,0.1378
Axcpt,unscaled,LH_DorsAttn_Post_12,-0.016642488602177,0.0412834893483373,univariate,0.0126028796276842,0.8073
